incnum,offense,offensecode,offensetype,category,year,blockcode,ward,police_shift,day_and_month
100000227,Aggravated Assault,13A,Assault Offenses,Crimes against Person,2021,,,,
100000228,Aggravated Assault,13A,Assault Offenses,Crimes against Person,2023,,,,
100000229,Simple Assault,13B,Assault Offenses,Crimes against Person,2019,,,,
100000230,"Family Offenses, Nonviolent",90F,"Family Offenses, Nonviolent",Other,2024,,,,
100000231,Simple Assault,13B,Assault Offenses,Crimes against Person,2019,,,,
100000232,Simple Assault,13B,Assault Offenses,Crimes against Person,2021,,,,
100000233,Aggravated Assault,13A,Assault Offenses,Crimes against Person,2020,,,,
100000234,Simple Assault,13B,Assault Offenses,Crimes against Person,2025,,,,
100000235,Simple Assault,13B,Assault Offenses,Crimes against Person,2019,,,,
100000236,Sex Offenses,"11A - 11D, 36A, 36B",Sex Offenses,Crimes against Person,2019,,,,
100000237,Simple Assault,13B,Assault Offenses,Crimes against Person,2018,,,,
100000238,Simple Assault,13B,Assault Offenses,Crimes against Person,2018,,,,
100000239,Simple Assault,13B,Assault Offenses,Crimes against Person,2022,,,,
100000240,Simple Assault,13B,Assault Offenses,Crimes against Person,2024,,,,
100000241,Simple Assault,13B,Assault Offenses,Crimes against Person,2025,,,,
100000242,Simple Assault,13B,Assault Offenses,Crimes against Person,2020,,,,
100000243,All Other Offenses,90Z,All Other Offenses,Other,2018,,,,
100000244,All Other Offenses,90Z,All Other Offenses,Other,2018,,,,
100000245,Destruction/Vandalism Property,290,Destruction/Vandalism Property,Crimes against Property,2024,,,,
100000246,Kidnapping/Abduction,100,Kidnapping/Abduction,Crimes against Person,2020,,,,
100000247,Aggravated Assault,13A,Assault Offenses,Crimes against Person,2017,,,,
100000248,Sex Offenses,"11A - 11D, 36A, 36B",Sex Offenses,Crimes against Person,2023,,,,
100000249,Aggravated Assault,13A,Assault Offenses,Crimes against Person,2021,,,,
100000250,"Family Offenses, Nonviolent",90F,"Family Offenses, Nonviolent",Other,2021,,,,
100000251,"Family Offenses, Nonviolent",90F,"Family Offenses, Nonviolent",Other,2023,,,,
100000252,Sex Offenses,"11A - 11D, 36A, 36B",Sex Offenses,Crimes against Person,2024,,,,
100000253,Simple Assault,13B,Assault Offenses,Crimes against Person,2022,,,,
100000254,Sex Offenses,"11A - 11D, 36A, 36B",Sex Offenses,Crimes against Person,2017,,,,
100000255,Sex Offenses,"11A - 11D, 36A, 36B",Sex Offenses,Crimes against Person,2020,,,,
100000256,Sex Offenses,"11A - 11D, 36A, 36B",Sex Offenses,Crimes against Person,2021,,,,
100000257,"Family Offenses, Nonviolent",90F,"Family Offenses, Nonviolent",Other,2018,,,,
