incnum,offense,offensecode,offensetype,category,year,blockcode,ward,police_shift,day_and_month
22032937,Burglary/Breaking And Entering,220,Burglary/Breaking And Entering,Crimes against Property,2022,250173502023004,4              ,Last Half (Midnight - 8AM),6/12
22032971,Destruction/Vandalism Property,290,Destruction/Vandalism Property,Crimes against Property,2022,250173514032003,1              ,Day Shift (8AM - 4PM),6/12
22032998,All Other Larceny,23H,Larceny/Theft Offenses,Crimes against Property,2022,250173506004001,7              ,Day Shift (8AM - 4PM),6/12
22032999,Other Criminal MV Offenses,"991, 998, 999",Other Criminal MV Offenses,Other,2022,250173507022000,7              ,Day Shift (8AM - 4PM),6/12
22033001,All Other Larceny,23H,Larceny/Theft Offenses,Crimes against Property,2022,250173502013004,1              ,Day Shift (8AM - 4PM),6/12
22033002,Simple Assault,13B,Assault Offenses,Crimes against Person,2022,250173514032001,1              ,Day Shift (8AM - 4PM),6/12
22033004,Burglary/Breaking And Entering,220,Burglary/Breaking And Entering,Crimes against Property,2022,250173501071021,1              ,Day Shift (8AM - 4PM),6/12
22033014,All Other Larceny,23H,Larceny/Theft Offenses,Crimes against Property,2022,250173507021010,7              ,Day Shift (8AM - 4PM),6/12
22033016,All Other Offenses,90Z,All Other Offenses,Other,2022,250173514042000,1              ,Day Shift (8AM - 4PM),6/12
22033021,Aggravated Assault,13A,Assault Offenses,Crimes against Person,2022,250173510012009,2              ,Day Shift (8AM - 4PM),6/12
22033023,All Other Larceny,23H,Larceny/Theft Offenses,Crimes against Property,2022,250173501091019,4              ,Day Shift (8AM - 4PM),6/12
22033051,Motor Vehicle Theft,240,Motor Vehicle Theft,Crimes against Property,2022,250173503001004,5              ,First Half (4PM - Midnight),6/12
22033058,Theft From Motor Vehicle,23F,Theft From Motor Vehicle,Crimes against Property,2022,250173501061007,1              ,First Half (4PM - Midnight),6/12
22033077,All Other Offenses,90Z,All Other Offenses,Other,2022,250173515002008,2              ,First Half (4PM - Midnight),6/12
22033106,Theft Of M/V Parts/Accessories,23G,Larceny/Theft Offenses,Crimes against Property,2022,250173514034003,1              ,First Half (4PM - Midnight),6/12
22033107,Theft Of M/V Parts/Accessories,23G,Larceny/Theft Offenses,Crimes against Property,2022,250173514034003,1              ,First Half (4PM - Midnight),6/12
22033202,Theft From Motor Vehicle,23F,Theft From Motor Vehicle,Crimes against Property,2022,250173504004013,6              ,Day Shift (8AM - 4PM),6/13
22033217,All Other Larceny,23H,Larceny/Theft Offenses,Crimes against Property,2022,250173501091002,4              ,Day Shift (8AM - 4PM),6/13
22033243,Other Criminal MV Offenses,"991, 998, 999",Other Criminal MV Offenses,Other,2022,250173515001007,2              ,Day Shift (8AM - 4PM),6/13
22033259,Destruction/Vandalism Property,290,Destruction/Vandalism Property,Crimes against Property,2022,250173502021000,5              ,Day Shift (8AM - 4PM),6/13
22033295,Credit Card/Atm Machine Fraud,26B,Fraud Offenses,Crimes against Property,2022,250173507011001,7              ,First Half (4PM - Midnight),6/13
22033320,Simple Assault,13B,Assault Offenses,Crimes against Person,2022,250173501091017,1              ,First Half (4PM - Midnight),6/13
22033325,Simple Assault,13B,Assault Offenses,Crimes against Person,2022,250173501071015,1              ,First Half (4PM - Midnight),6/13
22033368,All Other Larceny,23H,Larceny/Theft Offenses,Crimes against Property,2022,250173501061006,1              ,Last Half (Midnight - 8AM),6/14
22033411,Other Criminal MV Offenses,"991, 998, 999",Other Criminal MV Offenses,Other,2022,250173506004004,7              ,Day Shift (8AM - 4PM),6/14
22033474,Shoplifting,23C,Larceny/Theft Offenses,Crimes against Property,2022,250173515001007,2              ,Day Shift (8AM - 4PM),6/14
22033514,All Other Larceny,23H,Larceny/Theft Offenses,Crimes against Property,2022,250173515003001,2              ,First Half (4PM - Midnight),6/14
22033539,All Other Larceny,23H,Larceny/Theft Offenses,Crimes against Property,2022,250173515004004,1              ,First Half (4PM - Midnight),6/14
22033545,All Other Larceny,23H,Larceny/Theft Offenses,Crimes against Property,2022,250173513003000,3              ,First Half (4PM - Midnight),6/14
22033632,Other Criminal MV Offenses,"991, 998, 999",Other Criminal MV Offenses,Other,2022,250173507013003,7              ,Day Shift (8AM - 4PM),6/15
22033646,All Other Larceny,23H,Larceny/Theft Offenses,Crimes against Property,2022,250173510011003,3              ,Day Shift (8AM - 4PM),6/15
22033671,False Pretenses/Swindle/Game,26A,Fraud Offenses,Crimes against Property,2022,250173509003009,6              ,Day Shift (8AM - 4PM),6/15
22033698,Destruction/Vandalism Property,290,Destruction/Vandalism Property,Crimes against Property,2022,250173514043004,1              ,First Half (4PM - Midnight),6/15
22033708,Other Criminal MV Offenses,"991, 998, 999",Other Criminal MV Offenses,Other,2022,250173505001007,6              ,First Half (4PM - Midnight),6/15
22033717,All Other Larceny,23H,Larceny/Theft Offenses,Crimes against Property,2022,250173502023004,4              ,First Half (4PM - Midnight),6/15
22033774,Burglary/Breaking And Entering,220,Burglary/Breaking And Entering,Crimes against Property,2022,250173501071011,1              ,Last Half (Midnight - 8AM),6/16
22033824,All Other Larceny,23H,Larceny/Theft Offenses,Crimes against Property,2022,250173502021003,4              ,Day Shift (8AM - 4PM),6/16
22033876,Other Criminal MV Offenses,"991, 998, 999",Other Criminal MV Offenses,Other,2022,250173501081007,4              ,Day Shift (8AM - 4PM),6/16
22033878,All Other Larceny,23H,Larceny/Theft Offenses,Crimes against Property,2022,250173501061014,1              ,Day Shift (8AM - 4PM),6/16
22033886,All Other Larceny,23H,Larceny/Theft Offenses,Crimes against Property,2022,250173501061004,1              ,Day Shift (8AM - 4PM),6/16
22033887,All Other Larceny,23H,Larceny/Theft Offenses,Crimes against Property,2022,250173502013004,1              ,Day Shift (8AM - 4PM),6/16
22033931,Theft From Building,23D,Larceny/Theft Offenses,Crimes against Property,2022,250173513001006,3              ,First Half (4PM - Midnight),6/16
22034019,Simple Assault,13B,Assault Offenses,Crimes against Person,2022,250173501081004,4              ,Last Half (Midnight - 8AM),6/17
22034023,Destruction/Vandalism Property,290,Destruction/Vandalism Property,Crimes against Property,2022,250173512041008,2              ,Last Half (Midnight - 8AM),6/17
22034101,Other Criminal MV Offenses,"991, 998, 999",Other Criminal MV Offenses,Other,2022,250173507011003,7              ,Day Shift (8AM - 4PM),6/17
22034102,All Other Larceny,23H,Larceny/Theft Offenses,Crimes against Property,2022,250173511022000,3              ,Day Shift (8AM - 4PM),6/17
22034128,Robbery,120,Robbery,Crimes against Property,2022,250173501081004,4              ,First Half (4PM - Midnight),6/17
22034151,Simple Assault,13B,Assault Offenses,Crimes against Person,2022,250173501061015,1              ,First Half (4PM - Midnight),6/17
22034156,Shoplifting,23C,Larceny/Theft Offenses,Crimes against Property,2022,250173509003008,6              ,First Half (4PM - Midnight),6/17
22034169,Driving Under The Influence,90D,Driving Under The Influence,Other,2022,250173501081004,4              ,First Half (4PM - Midnight),6/17
22034176,Destruction/Vandalism Property,290,Destruction/Vandalism Property,Crimes against Property,2022,250173503001001,5              ,First Half (4PM - Midnight),6/17
22034242,Destruction/Vandalism Property,290,Destruction/Vandalism Property,Crimes against Property,2022,250173504002005,5              ,Day Shift (8AM - 4PM),6/18
22034297,Destruction/Vandalism Property,290,Destruction/Vandalism Property,Crimes against Property,2022,250173514033004,1              ,Day Shift (8AM - 4PM),6/18
22034347,All Other Larceny,23H,Larceny/Theft Offenses,Crimes against Property,2022,250173511022000,3              ,First Half (4PM - Midnight),6/18
22034442,Aggravated Assault,13A,Assault Offenses,Crimes against Person,2022,250173509001008,6              ,Day Shift (8AM - 4PM),6/19
22034589,Destruction/Vandalism Property,290,Destruction/Vandalism Property,Crimes against Property,2022,250173513003000,3              ,Day Shift (8AM - 4PM),6/20
22034634,Credit Card/Atm Machine Fraud,26B,Fraud Offenses,Crimes against Property,2022,250173504001005,6              ,Day Shift (8AM - 4PM),6/20
22034670,Other Criminal MV Offenses,"991, 998, 999",Other Criminal MV Offenses,Other,2022,250173513002003,3              ,First Half (4PM - Midnight),6/20
22034774,All Other Larceny,23H,Larceny/Theft Offenses,Crimes against Property,2022,250173501061007,1              ,Day Shift (8AM - 4PM),6/21
22034827,All Other Larceny,23H,Larceny/Theft Offenses,Crimes against Property,2022,250173511012001,3              ,First Half (4PM - Midnight),6/21
22034846,All Other Larceny,23H,Larceny/Theft Offenses,Crimes against Property,2022,250173512043005,2              ,First Half (4PM - Midnight),6/21
22034859,Simple Assault,13B,Assault Offenses,Crimes against Person,2022,250173503001001,5              ,First Half (4PM - Midnight),6/21
22034900,Theft From Motor Vehicle,23F,Theft From Motor Vehicle,Crimes against Property,2022,250173501082009,4              ,Last Half (Midnight - 8AM),6/22
22034915,Theft From Motor Vehicle,23F,Theft From Motor Vehicle,Crimes against Property,2022,250173510022006,5              ,Last Half (Midnight - 8AM),6/22
22035002,Weapon Law Violation,520,Weapon Law Violation,Crimes against Society,2022,250173501091010,4              ,First Half (4PM - Midnight),6/22
22035013,All Other Larceny,23H,Larceny/Theft Offenses,Crimes against Property,2022,250173512033001,2              ,First Half (4PM - Midnight),6/22
22035098,All Other Larceny,23H,Larceny/Theft Offenses,Crimes against Property,2022,250173511013006,3              ,Last Half (Midnight - 8AM),6/23
22035126,Destruction/Vandalism Property,290,Destruction/Vandalism Property,Crimes against Property,2022,250173506002002,7              ,Day Shift (8AM - 4PM),6/23
22035171,Motor Vehicle Theft,240,Motor Vehicle Theft,Crimes against Property,2022,250173501082006,4              ,Day Shift (8AM - 4PM),6/23
22035225,All Other Larceny,23H,Larceny/Theft Offenses,Crimes against Property,2022,250173506002002,7              ,First Half (4PM - Midnight),6/23
22035247,All Other Larceny,23H,Larceny/Theft Offenses,Crimes against Property,2022,250173505002000,6              ,First Half (4PM - Midnight),6/23
22035316,Other Criminal MV Offenses,"991, 998, 999",Other Criminal MV Offenses,Other,2022,250173505002005,7              ,Day Shift (8AM - 4PM),6/24
22035329,Burglary/Breaking And Entering,220,Burglary/Breaking And Entering,Crimes against Property,2022,250173511012000,3              ,Day Shift (8AM - 4PM),6/24
22035397,All Other Offenses,90Z,All Other Offenses,Other,2022,250173515002008,2              ,First Half (4PM - Midnight),6/24
22035430,False Pretenses/Swindle/Game,26A,Fraud Offenses,Crimes against Property,2022,250173504002000,5              ,First Half (4PM - Midnight),6/24
22035433,Destruction/Vandalism Property,290,Destruction/Vandalism Property,Crimes against Property,2022,250173509003001,6              ,First Half (4PM - Midnight),6/24
22035437,False Pretenses/Swindle/Game,26A,Fraud Offenses,Crimes against Property,2022,250173511022000,3              ,First Half (4PM - Midnight),6/24
22035491,Destruction/Vandalism Property,290,Destruction/Vandalism Property,Crimes against Property,2022,250173501061016,1              ,Last Half (Midnight - 8AM),6/25
22035544,Burglary/Breaking And Entering,220,Burglary/Breaking And Entering,Crimes against Property,2022,250173512032001,2              ,Day Shift (8AM - 4PM),6/25
22035573,All Other Larceny,23H,Larceny/Theft Offenses,Crimes against Property,2022,250173501081004,4              ,Day Shift (8AM - 4PM),6/25
22035583,Other Criminal MV Offenses,"991, 998, 999",Other Criminal MV Offenses,Other,2022,250173515002003,2              ,Day Shift (8AM - 4PM),6/25
22035608,All Other Larceny,23H,Larceny/Theft Offenses,Crimes against Property,2022,250173501061012,1              ,First Half (4PM - Midnight),6/25
22035626,Aggravated Assault,13A,Assault Offenses,Crimes against Person,2022,250173507023000,7              ,First Half (4PM - Midnight),6/25
22035709,Theft From Motor Vehicle,23F,Theft From Motor Vehicle,Crimes against Property,2022,250173509001006,6              ,Last Half (Midnight - 8AM),6/26
22035943,Destruction/Vandalism Property,290,Destruction/Vandalism Property,Crimes against Property,2022,250173501061014,1              ,First Half (4PM - Midnight),6/27
22036028,Burglary/Breaking And Entering,220,Burglary/Breaking And Entering,Crimes against Property,2022,250173501061012,1              ,Last Half (Midnight - 8AM),6/28
22036082,All Other Larceny,23H,Larceny/Theft Offenses,Crimes against Property,2022,250173509003000,,Day Shift (8AM - 4PM),6/28
22036085,Destruction/Vandalism Property,290,Destruction/Vandalism Property,Crimes against Property,2022,250173503003010,5              ,Day Shift (8AM - 4PM),6/28
22036101,Other Criminal MV Offenses,"991, 998, 999",Other Criminal MV Offenses,Other,2022,250173501061003,1              ,Day Shift (8AM - 4PM),6/28
22036122,All Other Larceny,23H,Larceny/Theft Offenses,Crimes against Property,2022,250173515002017,2              ,First Half (4PM - Midnight),6/28
22036128,Burglary/Breaking And Entering,220,Burglary/Breaking And Entering,Crimes against Property,2022,250173507021009,7              ,First Half (4PM - Midnight),6/28
22036135,Motor Vehicle Theft,240,Motor Vehicle Theft,Crimes against Property,2022,250173515001003,2              ,First Half (4PM - Midnight),6/28
22036139,Other Criminal MV Offenses,"991, 998, 999",Other Criminal MV Offenses,Other,2022,250173511011002,5              ,First Half (4PM - Midnight),6/28
22036244,Theft From Motor Vehicle,23F,Theft From Motor Vehicle,Crimes against Property,2022,250173514043004,1              ,Day Shift (8AM - 4PM),6/29
22036248,Burglary/Breaking And Entering,220,Burglary/Breaking And Entering,Crimes against Property,2022,250173502013003,1              ,Day Shift (8AM - 4PM),6/29
22036269,All Other Larceny,23H,Larceny/Theft Offenses,Crimes against Property,2022,250173501061004,1              ,Day Shift (8AM - 4PM),6/29
22036294,Robbery,120,Robbery,Crimes against Property,2022,250173501081005,4              ,Day Shift (8AM - 4PM),6/29
22036309,False Pretenses/Swindle/Game,26A,Fraud Offenses,Crimes against Property,2022,250173514033002,1              ,Day Shift (8AM - 4PM),6/29
22036352,All Other Larceny,23H,Larceny/Theft Offenses,Crimes against Property,2022,250173514043004,1              ,First Half (4PM - Midnight),6/29
22036496,Motor Vehicle Theft,240,Motor Vehicle Theft,Crimes against Property,2022,250173501061015,1              ,Day Shift (8AM - 4PM),6/30
22036499,All Other Offenses,90Z,All Other Offenses,Other,2022,250173502011008,1              ,First Half (4PM - Midnight),6/30
22036538,Other Criminal MV Offenses,"991, 998, 999",Other Criminal MV Offenses,Other,2022,250173510011000,3              ,First Half (4PM - Midnight),6/30
22036578,Burglary/Breaking And Entering,220,Burglary/Breaking And Entering,Crimes against Property,2022,250173513001004,3              ,First Half (4PM - Midnight),6/30
22036607,Aggravated Assault,13A,Assault Offenses,Crimes against Person,2022,250173511012005,3              ,Last Half (Midnight - 8AM),7/1
22036650,Simple Assault,13B,Assault Offenses,Crimes against Person,2022,250173511012001,3              ,Day Shift (8AM - 4PM),7/1
22036687,Destruction/Vandalism Property,290,Destruction/Vandalism Property,Crimes against Property,2022,250173513001008,3              ,Day Shift (8AM - 4PM),7/1
22036694,All Other Offenses,90Z,All Other Offenses,Other,2022,250173509003018,6              ,Day Shift (8AM - 4PM),7/1
22036749,Robbery,120,Robbery,Crimes against Property,2022,250173501091002,4              ,First Half (4PM - Midnight),7/1
22036777,Destruction/Vandalism Property,290,Destruction/Vandalism Property,Crimes against Property,2022,250173507011004,7              ,First Half (4PM - Midnight),7/1
22036818,Theft From Motor Vehicle,23F,Theft From Motor Vehicle,Crimes against Property,2022,250173515004005,1              ,Last Half (Midnight - 8AM),7/2
22036835,Other Criminal MV Offenses,"991, 998, 999",Other Criminal MV Offenses,Other,2022,250173501061006,1              ,Last Half (Midnight - 8AM),7/2
22036921,All Other Larceny,23H,Larceny/Theft Offenses,Crimes against Property,2022,250173515001007,2              ,First Half (4PM - Midnight),7/2
22036959,All Other Larceny,23H,Larceny/Theft Offenses,Crimes against Property,2022,250173512042003,2              ,First Half (4PM - Midnight),7/2
22036980,Weapon Law Violation,520,Weapon Law Violation,Crimes against Society,2022,250173501061012,1              ,Last Half (Midnight - 8AM),7/3
22036988,Destruction/Vandalism Property,290,Destruction/Vandalism Property,Crimes against Property,2022,250173515003000,2              ,Last Half (Midnight - 8AM),7/3
22037033,All Other Larceny,23H,Larceny/Theft Offenses,Crimes against Property,2022,250173512041008,2              ,Day Shift (8AM - 4PM),7/3
22037039,All Other Larceny,23H,Larceny/Theft Offenses,Crimes against Property,2022,250173501091009,4              ,Day Shift (8AM - 4PM),7/3
22037053,All Other Larceny,23H,Larceny/Theft Offenses,Crimes against Property,2022,250173512041008,2              ,First Half (4PM - Midnight),7/3
22037096,Theft From Motor Vehicle,23F,Theft From Motor Vehicle,Crimes against Property,2022,250173501061016,1              ,First Half (4PM - Midnight),7/3
22037099,Burglary/Breaking And Entering,220,Burglary/Breaking And Entering,Crimes against Property,2022,250173512033002,2              ,First Half (4PM - Midnight),7/3
22037110,False Pretenses/Swindle/Game,26A,Fraud Offenses,Crimes against Property,2022,250173512034002,2              ,First Half (4PM - Midnight),7/3
22037203,Theft From Building,23D,Larceny/Theft Offenses,Crimes against Property,2022,250173509003001,6              ,First Half (4PM - Midnight),7/4
22037224,All Other Larceny,23H,Larceny/Theft Offenses,Crimes against Property,2022,250173501061006,1              ,First Half (4PM - Midnight),7/4
22037250,False Pretenses/Swindle/Game,26A,Fraud Offenses,Crimes against Property,2022,250173509003001,6              ,First Half (4PM - Midnight),7/4
22037316,Theft From Motor Vehicle,23F,Theft From Motor Vehicle,Crimes against Property,2022,250173515002010,2              ,Day Shift (8AM - 4PM),7/5
22037330,Theft From Motor Vehicle,23F,Theft From Motor Vehicle,Crimes against Property,2022,250173501071004,1              ,Day Shift (8AM - 4PM),7/5
22037372,Destruction/Vandalism Property,290,Destruction/Vandalism Property,Crimes against Property,2022,250173503001005,5              ,Day Shift (8AM - 4PM),7/5
22037404,Theft From Motor Vehicle,23F,Theft From Motor Vehicle,Crimes against Property,2022,250173501061006,1              ,First Half (4PM - Midnight),7/5
22037420,All Other Larceny,23H,Larceny/Theft Offenses,Crimes against Property,2022,250173511011003,5              ,First Half (4PM - Midnight),7/5
22037426,Credit Card/Atm Machine Fraud,26B,Fraud Offenses,Crimes against Property,2022,250173510011002,3              ,First Half (4PM - Midnight),7/5
22037432,Motor Vehicle Theft,240,Motor Vehicle Theft,Crimes against Property,2022,250173511011004,5              ,First Half (4PM - Midnight),7/5
22037440,Motor Vehicle Theft,240,Motor Vehicle Theft,Crimes against Property,2022,250173505001007,6              ,First Half (4PM - Midnight),7/5
22037455,Destruction/Vandalism Property,290,Destruction/Vandalism Property,Crimes against Property,2022,250173503003009,5              ,First Half (4PM - Midnight),7/5
22037502,Robbery,120,Robbery,Crimes against Property,2022,250173396006009,5              ,Last Half (Midnight - 8AM),7/6
22037514,Theft From Motor Vehicle,23F,Theft From Motor Vehicle,Crimes against Property,2022,250173502021004,5              ,Last Half (Midnight - 8AM),7/6
22037581,Theft From Motor Vehicle,23F,Theft From Motor Vehicle,Crimes against Property,2022,250173502021002,5              ,Day Shift (8AM - 4PM),7/6
22037617,Motor Vehicle Theft,240,Motor Vehicle Theft,Crimes against Property,2022,250173501091012,4              ,First Half (4PM - Midnight),7/6
22037624,All Other Larceny,23H,Larceny/Theft Offenses,Crimes against Property,2022,250173512034003,2              ,First Half (4PM - Midnight),7/6
22037630,Extortion/Blackmail,210,Extortion/Blackmail,Crimes against Property,2022,250173503002007,5              ,First Half (4PM - Midnight),7/6
22037658,Simple Assault,13B,Assault Offenses,Crimes against Person,2022,250173501082003,4              ,First Half (4PM - Midnight),7/6
22037808,Theft From Building,23D,Larceny/Theft Offenses,Crimes against Property,2022,250173515001008,2              ,Day Shift (8AM - 4PM),7/7
22037816,All Other Offenses,90Z,All Other Offenses,Other,2022,250173501091002,4              ,Day Shift (8AM - 4PM),7/7
22037822,Extortion/Blackmail,210,Extortion/Blackmail,Crimes against Property,2022,250173503003013,5              ,Day Shift (8AM - 4PM),7/7
22037840,All Other Larceny,23H,Larceny/Theft Offenses,Crimes against Property,2022,250173501082009,4              ,First Half (4PM - Midnight),7/7
22037844,All Other Larceny,23H,Larceny/Theft Offenses,Crimes against Property,2022,250173501061014,1              ,First Half (4PM - Midnight),7/7
22037959,All Other Larceny,23H,Larceny/Theft Offenses,Crimes against Property,2022,250173513001000,5              ,Day Shift (8AM - 4PM),7/8
22037962,Destruction/Vandalism Property,290,Destruction/Vandalism Property,Crimes against Property,2022,250173515003010,2              ,Day Shift (8AM - 4PM),7/8
22037972,Theft From Motor Vehicle,23F,Theft From Motor Vehicle,Crimes against Property,2022,250173501081011,4              ,Day Shift (8AM - 4PM),7/8
22037974,Destruction/Vandalism Property,290,Destruction/Vandalism Property,Crimes against Property,2022,250173501091013,4              ,Day Shift (8AM - 4PM),7/8
22037986,All Other Larceny,23H,Larceny/Theft Offenses,Crimes against Property,2022,250173501061015,1              ,Day Shift (8AM - 4PM),7/8
22038019,Other Criminal MV Offenses,"991, 998, 999",Other Criminal MV Offenses,Other,2022,250173501061014,1              ,Day Shift (8AM - 4PM),7/8
22038050,All Other Larceny,23H,Larceny/Theft Offenses,Crimes against Property,2022,250173512041001,2              ,First Half (4PM - Midnight),7/8
22038109,Destruction/Vandalism Property,290,Destruction/Vandalism Property,Crimes against Property,2022,250173501091002,4              ,First Half (4PM - Midnight),7/8
22038163,Destruction/Vandalism Property,290,Destruction/Vandalism Property,Crimes against Property,2022,250173501061006,1              ,Last Half (Midnight - 8AM),7/9
22038205,Theft From Motor Vehicle,23F,Theft From Motor Vehicle,Crimes against Property,2022,250173512034006,2              ,Day Shift (8AM - 4PM),7/9
22038280,Simple Assault,13B,Assault Offenses,Crimes against Person,2022,250173501081005,4              ,First Half (4PM - Midnight),7/9
22038373,Robbery,120,Robbery,Crimes against Property,2022,250173501061014,1              ,Day Shift (8AM - 4PM),7/10
22038500,Other Criminal MV Offenses,"991, 998, 999",Other Criminal MV Offenses,Other,2022,250173515001003,2              ,Day Shift (8AM - 4PM),7/11
22038531,All Other Larceny,23H,Larceny/Theft Offenses,Crimes against Property,2022,250173501061005,1              ,Day Shift (8AM - 4PM),7/11
22038553,Other Criminal MV Offenses,"991, 998, 999",Other Criminal MV Offenses,Other,2022,250173513002010,3              ,Day Shift (8AM - 4PM),7/11
22038603,Theft From Building,23D,Larceny/Theft Offenses,Crimes against Property,2022,250173502013005,1              ,First Half (4PM - Midnight),7/11
22038604,All Other Larceny,23H,Larceny/Theft Offenses,Crimes against Property,2022,250173501061008,1              ,First Half (4PM - Midnight),7/11
22038766,Credit Card/Atm Machine Fraud,26B,Fraud Offenses,Crimes against Property,2022,250173510011000,3              ,Day Shift (8AM - 4PM),7/12
22038806,Theft From Building,23D,Larceny/Theft Offenses,Crimes against Property,2022,250173503001001,5              ,Day Shift (8AM - 4PM),7/12
22038807,All Other Larceny,23H,Larceny/Theft Offenses,Crimes against Property,2022,250173502013004,1              ,Day Shift (8AM - 4PM),7/12
22038811,All Other Larceny,23H,Larceny/Theft Offenses,Crimes against Property,2022,250173508001002,7              ,Day Shift (8AM - 4PM),7/12
22038914,Other Criminal MV Offenses,"991, 998, 999",Other Criminal MV Offenses,Other,2022,250173508001002,7              ,First Half (4PM - Midnight),7/12
22038962,Trespass Of Real Property,90J,Trespass Of Real Property,Other,2022,250173501082009,4              ,Last Half (Midnight - 8AM),7/13
22038963,Theft From Motor Vehicle,23F,Theft From Motor Vehicle,Crimes against Property,2022,250173507021010,7              ,Last Half (Midnight - 8AM),7/13
22038978,All Other Offenses,90Z,All Other Offenses,Other,2022,250173513002010,3              ,Day Shift (8AM - 4PM),7/13
22039040,False Pretenses/Swindle/Game,26A,Fraud Offenses,Crimes against Property,2022,250173501081004,4              ,Day Shift (8AM - 4PM),7/13
22039052,Destruction/Vandalism Property,290,Destruction/Vandalism Property,Crimes against Property,2022,250173509001007,6              ,First Half (4PM - Midnight),7/13
22039059,Other Criminal MV Offenses,"991, 998, 999",Other Criminal MV Offenses,Other,2022,250173509001002,6              ,First Half (4PM - Midnight),7/13
22039243,Counterfeiting/Forgery,250,Counterfeiting/Forgery,Crimes against Property,2022,250173507011002,7              ,Day Shift (8AM - 4PM),7/14
22039359,All Other Offenses,90Z,All Other Offenses,Other,2022,250173501091011,4              ,Last Half (Midnight - 8AM),7/15
22039369,Driving Under The Influence,90D,Driving Under The Influence,Other,2022,250173501051017,4              ,Last Half (Midnight - 8AM),7/15
22039419,All Other Larceny,23H,Larceny/Theft Offenses,Crimes against Property,2022,250173510022000,5              ,Day Shift (8AM - 4PM),7/15
22039435,Trespass Of Real Property,90J,Trespass Of Real Property,Other,2022,250173505001008,6              ,Day Shift (8AM - 4PM),7/15
22039449,Other Criminal MV Offenses,"991, 998, 999",Other Criminal MV Offenses,Other,2022,250173514031002,1              ,Day Shift (8AM - 4PM),7/15
22039470,All Other Larceny,23H,Larceny/Theft Offenses,Crimes against Property,2022,250173504005004,6              ,First Half (4PM - Midnight),7/15
22039551,Destruction/Vandalism Property,290,Destruction/Vandalism Property,Crimes against Property,2022,250173515001007,2              ,Last Half (Midnight - 8AM),7/16
22039589,Destruction/Vandalism Property,290,Destruction/Vandalism Property,Crimes against Property,2022,250173514031000,1              ,Day Shift (8AM - 4PM),7/16
22039617,All Other Larceny,23H,Larceny/Theft Offenses,Crimes against Property,2022,250173504005005,6              ,Day Shift (8AM - 4PM),7/16
22039619,Aggravated Assault,13A,Assault Offenses,Crimes against Person,2022,250173501061006,1              ,Day Shift (8AM - 4PM),7/16
22039652,All Other Larceny,23H,Larceny/Theft Offenses,Crimes against Property,2022,250173501061007,1              ,First Half (4PM - Midnight),7/16
22039657,All Other Larceny,23H,Larceny/Theft Offenses,Crimes against Property,2022,250173514031000,1              ,First Half (4PM - Midnight),7/16
22039669,Destruction/Vandalism Property,290,Destruction/Vandalism Property,Crimes against Property,2022,250173501082009,4              ,First Half (4PM - Midnight),7/16
22039687,Destruction/Vandalism Property,290,Destruction/Vandalism Property,Crimes against Property,2022,250173501061014,1              ,First Half (4PM - Midnight),7/16
22039694,Driving Under The Influence,90D,Driving Under The Influence,Other,2022,250173501091001,4              ,First Half (4PM - Midnight),7/16
22039771,Motor Vehicle Theft,240,Motor Vehicle Theft,Crimes against Property,2022,250173514034005,1              ,Last Half (Midnight - 8AM),7/17
22039798,All Other Larceny,23H,Larceny/Theft Offenses,Crimes against Property,2022,250173506004003,7              ,Day Shift (8AM - 4PM),7/17
22039831,All Other Larceny,23H,Larceny/Theft Offenses,Crimes against Property,2022,250173512034002,2              ,First Half (4PM - Midnight),7/17
22039955,All Other Larceny,23H,Larceny/Theft Offenses,Crimes against Property,2022,250173504004005,6              ,Day Shift (8AM - 4PM),7/18
22039963,Destruction/Vandalism Property,290,Destruction/Vandalism Property,Crimes against Property,2022,250173514044007,1              ,Day Shift (8AM - 4PM),7/18
22039964,Other Criminal MV Offenses,"991, 998, 999",Other Criminal MV Offenses,Other,2022,250173504004011,6              ,Day Shift (8AM - 4PM),7/18
22039981,All Other Offenses,90Z,All Other Offenses,Other,2022,250173511011006,5              ,Day Shift (8AM - 4PM),7/18
22039993,Theft Of M/V Parts/Accessories,23G,Larceny/Theft Offenses,Crimes against Property,2022,250173505002000,6              ,First Half (4PM - Midnight),7/18
22039999,All Other Larceny,23H,Larceny/Theft Offenses,Crimes against Property,2022,250173512032005,2              ,First Half (4PM - Midnight),7/18
22040042,Driving Under The Influence,90D,Driving Under The Influence,Other,2022,250173501061015,1              ,First Half (4PM - Midnight),7/18
22040090,Theft From Motor Vehicle,23F,Theft From Motor Vehicle,Crimes against Property,2022,250173510011002,3              ,Last Half (Midnight - 8AM),7/19
22040103,All Other Larceny,23H,Larceny/Theft Offenses,Crimes against Property,2022,250173512041007,2              ,Last Half (Midnight - 8AM),7/19
22040111,Theft From Motor Vehicle,23F,Theft From Motor Vehicle,Crimes against Property,2022,250173510011006,3              ,Day Shift (8AM - 4PM),7/19
22040142,All Other Larceny,23H,Larceny/Theft Offenses,Crimes against Property,2022,250173512042003,2              ,Day Shift (8AM - 4PM),7/19
22040153,All Other Larceny,23H,Larceny/Theft Offenses,Crimes against Property,2022,250173512034007,2              ,Day Shift (8AM - 4PM),7/19
